kode_koridor,koridor,layanan,n_halte,warna,koridor_id,api_url,tanggal
4M,Pulo Gadung - Kota,Transjakarta,23,900BB5,idjkb_4M,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_4M&transportType=transjakarta,2020-04-13
Stasiun Manggarai,Stasiun Manggarai - Tosari,Transjakarta,6,5D2E64,idjkb_4X,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_4X&transportType=transjakarta,2020-04-13
5,Ancol - Kampung Melayu,Transjakarta,19,C85F1B,idjkb_5,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_5&transportType=transjakarta,2020-04-13
5A,Kampung Melayu - Grogol,Transjakarta,36,D38251,idjkb_5A,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_5A&transportType=transjakarta,2020-04-13
5B,Stasiun Tebet - Bidara Cina,Transjakarta,14,905C3A,idjkb_5B,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_5B&transportType=transjakarta,2020-04-13
5C,PGC - Harmoni,Transjakarta,25,73CCD5,idjkb_5C,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_5C&transportType=transjakarta,2020-04-13
5D,PGC - Ancol,Transjakarta,26,F2911F,idjkb_5D,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_5D&transportType=transjakarta,2020-04-13
5E,Kampung Rambutan - Ancol,Transjakarta,34,F1592A,idjkb_5E,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_5E&transportType=transjakarta,2020-04-13
5F,Kampung Melayu - Tanah Abang,Transjakarta,50,FF9E58,idjkb_5F,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_5F&transportType=transjakarta,2020-04-13
5H,Harmoni - Ancol,Transjakarta,11,FF7734,idjkb_old_5F,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_old_5F&transportType=transjakarta,2020-04-13
5K,Kampung Melayu - Kota,Transjakarta,20,FC6F03,idjkb_5K,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_5K&transportType=transjakarta,2020-04-13
5M,Kampung Melayu - Cikini - Tanah Abang,Transjakarta,74,FF5400,idjkb_5M,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_5M&transportType=transjakarta,2020-04-13
5N,Kampung Melayu - Ragunan,Transjakarta,116,FF4000,idjkb_5N,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_5N&transportType=transjakarta,2020-04-13
6,Ragunan - Halimun,Transjakarta,21,31A542,idjkb_6,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_6&transportType=transjakarta,2020-04-13
6A,Ragunan - Kuningan - Monas,Transjakarta,24,98C274,idjkb_6A,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_6A&transportType=transjakarta,2020-04-13
6B,Ragunan - Semanggi - Monas,Transjakarta,23,74C289,idjkb_6B,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_6B&transportType=transjakarta,2020-04-13
6C,Stasiun Tebet - Patra Kuningan - Karet,Transjakarta,38,647950,idjkb_6C,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_6C&transportType=transjakarta,2020-04-13
6D,Stasiun Tebet - Underpass - Karet,Transjakarta,31,819967,idjkb_6D,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_6D&transportType=transjakarta,2020-04-13
6E,Stasiun Tebet - Mega Kuningan - Karet,Transjakarta,34,384C22,idjkb_6E,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_6E&transportType=transjakarta,2020-04-13
6F,Ragunan - Stasiun Manggarai,Transjakarta,23,61B646,idjkb_6F,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_6F&transportType=transjakarta,2020-04-13
6H,Lebak Bulus - Senen,Transjakarta,59,75358D,idjkb_6H,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_6H&transportType=transjakarta,2020-04-13
6M,Stasiun Manggarai - Blok M,Transjakarta,22,7A3569,idjkb_6M,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_6M&transportType=transjakarta,2020-04-13
6N,Ragunan - Blok M,Transjakarta,53,61B646,idjkb_6N,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_6N&transportType=transjakarta,2020-04-13
6Q,Epicentrum - Casablanca,Transjakarta,31,79FC58,idjkb_6Q,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_6Q&transportType=transjakarta,2020-04-13
6R,Ragunan - Stasiun MRT Fatmawati,Transjakarta,36,5BFC32,idjkb_6R,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_6R&transportType=transjakarta,2020-04-13
7,Kampung Rambutan - Kampung Melayu,Transjakarta,17,EC2661,idjkb_7,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_7&transportType=transjakarta,2020-04-13
7A,Lebak Bulus - Kampung Rambutan,Transjakarta,56,F498B9,idjkb_7A,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_7A&transportType=transjakarta,2020-04-13
7B,Kampung Rambutan - Blok M,Transjakarta,94,BB5227,idjkb_7B,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_7B&transportType=transjakarta,2020-04-13
7C,Cibubur - BKN,Transjakarta,6,669043,idjkb_7C,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_7C&transportType=transjakarta,2020-04-13
7D,TMII - Cawang Cikoko,Transjakarta,18,3F9593,idjkb_7D,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_7D&transportType=transjakarta,2020-04-13
7E,Kampung Rambutan - Ragunan,Transjakarta,36,ED4B78,idjkb_7E,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_7E&transportType=transjakarta,2020-04-13
7F,Kampung Rambutan - Cempaka Putih - Harmoni,Transjakarta,39,FF326B,idjkb_7F,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_7F&transportType=transjakarta,2020-04-13
7M,Kampung Rambutan - Pulo Gadung,Transjakarta,26,940027,idjkb_7M,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_7M&transportType=transjakarta,2020-04-13
7N,Gandaria - Kampung Rambutan,Transjakarta,52,91334C,idjkb_7N,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_7N&transportType=transjakarta,2020-04-13
7P,Pondok Kelapa - BKN,Transjakarta,62,911D3C,idjkb_7P,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_7P&transportType=transjakarta,2020-04-13
8,Lebak Bulus - Harmoni,Transjakarta,28,DA259A,idjkb_8,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_8&transportType=transjakarta,2020-04-13
8A,Harmoni - Grogol,Transjakarta,12,972A70,idjkb_8A,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_8A&transportType=transjakarta,2020-04-13
8C,Tanah Abang - Kebayoran Lama,Transjakarta,51,245D61,idjkb_8C,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_8C&transportType=transjakarta,2020-04-13
8D,Blok M - Joglo,Transjakarta,49,378F94,idjkb_8D,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_8D&transportType=transjakarta,2020-04-13
8E,Blok M - Bintaro,Transjakarta,64,F498B9,idjkb_8E,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_8E&transportType=transjakarta,2020-04-13
8K,Tanah Abang - Batusari,Transjakarta,58,378F94,idjkb_8K,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_8K&transportType=transjakarta,2020-04-13
9,Pinang Ranti - Pluit,Transjakarta,47,449F98,idjkb_9,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_9&transportType=transjakarta,2020-04-13
9A,PGC 2 - Pluit,Transjakarta,45,8EA03B,idjkb_9A,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_9A&transportType=transjakarta,2020-04-13
9B,Pinang Ranti - Kota,Transjakarta,38,57A144,idjkb_9B,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_9B&transportType=transjakarta,2020-04-13
9C,Pinang Ranti - Bundaran Senayan,Transjakarta,27,3AA068,idjkb_9C,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_9C&transportType=transjakarta,2020-04-13
9D,Pasar Minggu - Tanah Abang,Transjakarta,97,37C021,idjkb_9D,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_9D&transportType=transjakarta,2020-04-13
9E,Kebayoran Lama - Jelambar,Transjakarta,35,5D9DA8,idjkb_9E,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_9E&transportType=transjakarta,2020-04-13
9H,Cipedak - Blok M,Transjakarta,116,84D0D4,idjkb_9H,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_9H&transportType=transjakarta,2020-04-13
9K,Kampung Rambutan - Grogol,Transjakarta,23,79D6D3,idjkb_9K,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_9K&transportType=transjakarta,2020-04-13
9M,Pinang Ranti - Halimun,Transjakarta,26,2EF5FF,idjkb_9M,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_9M&transportType=transjakarta,2020-04-13
10,Tanjung Priok - PGC,Transjakarta,27,8F1A1E,idjkb_10,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_10&transportType=transjakarta,2020-04-13
10A,Rusun Marunda - Tanjung Priok,Transjakarta,16,8D8482,idjkb_10A,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_10A&transportType=transjakarta,2020-04-13
10B,Rusun Cipinang Besar Selatan - Penas Kalimalang,Transjakarta,3,8D8482,idjkb_10B,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_10B&transportType=transjakarta,2020-04-13
10C,Tanjung Priok - Pelabuhan Tanjung Priok,Transjakarta,4,E5494E,idjkb_10C,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_10C&transportType=transjakarta,2020-04-13
10D,Tanjung Priok - Kampung Rambutan,Transjakarta,24,9B3337,idjkb_10D,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_10D&transportType=transjakarta,2020-04-13
10F,Sunter Kelapa Gading - Stasiun LRT Kelapa Gading,Transjakarta,39,9C1C20,idjkb_10F,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_10F&transportType=transjakarta,2020-04-13
10H,Tanjung Priok - Blok M,Transjakarta,26,9C050A,idjkb_10H,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_10H&transportType=transjakarta,2020-04-13
10K,Tanjung Priok - Senen,Transjakarta,69,8B4344,idjkb_10K,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_10K&transportType=transjakarta,2020-04-13
11,Kampung Melayu - Pulo Gebang,Transjakarta,17,2F4FA2,idjkb_11,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_11&transportType=transjakarta,2020-04-13
11A,Pulo Gebang - Rawamangun,Transjakarta,23,6E7FAE,idjkb_11A,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_11A&transportType=transjakarta,2020-04-13
11B,Rusun Rawa Bebek - Penggilingan,Transjakarta,3,8D8482,idjkb_11B,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_11B&transportType=transjakarta,2020-04-13
11C,Rusun Pinus Elok - Rusun Pulo Gebang,Transjakarta,4,8D8482,idjkb_11C,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_11C&transportType=transjakarta,2020-04-13
11Q,Pulo Gebang - BKT - Kampung Melayu,Transjakarta,57,10C0FF,idjkb_11Q,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_11Q&transportType=transjakarta,2020-04-13
11R,Rusun Cakung KM2 - Bukit Duri,Transjakarta,15,8D8482,idjkb_11R,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_11R&transportType=transjakarta,2020-04-13
