KodeRute,NamaRute
JAK-6,Kampung Rambutan - Pondok Gede
JAK-7,Tanah Abang - Tawakal
JAK-8,Roxy - Benhil via Tanah Abang
JAK-9,Roxy Mas - Karet
JAK-10,Tanah Abang - Kota
JAK-11,Tanah Abang - Kebayoran Lama
JAK-12,Tanah Abang - Kebayoran Lama via Pos Pengumben
JAK-13,Tanah Abang - Kota Intan via Jembatan Lima
JAK-14,Tanah Abang - Meruya
JAK-15,Tanjung Priok - Bulak Turi
JAK-16,PGC - Condet
JAK-17,Pulogadung - Senen
JAK-18,Stasiun Kalibata - Kuningan
JAK-19,Pinang Ranti - Setu
JAK-20,Lubang Buaya - Cawang UKI
JAK-21,PGC - Dwikora
JAK-22,Penas Kalimalang - Dwikora
JAK-24,Senen - Pulogadung via Kelapa Gading
JAK-25,Kalisari - Pasar Rebo
JAK-26,Rawamangun - Duren Sawit
JAK-27,Pulogebang - Rorotan
JAK-28,Taman Wiladatika - Pasar Rebo
JAK-29,Tanjung Priok - Semper
JAK-30,Citraland - Meruya
JAK-31,Pondok Labu - Blok M
JAK-32,Petukangan - Lebak Bulus
JAK-33,Pulogadung - Kota
JAK-34,Rawamangun - Klender
JAK-35,Rawamangun - Pangkalan Jati
JAK-36,Cilangkap - Cililitan
JAK-37,Cililitan - Condet via Kayu Manis
JAK-38,Bulak Ringin - Kampung Rambutan
JAK-39,Duren Sawit - Kalimalang
JAK-40,Pulogebang - Taman Harapan Baru
JAK-41,Kampung Melayu - Pulogadung
JAK-42,Kampung Melayu - Pondok Kelapa
JAK-43,Tongtek - Cililitan
JAK-44,Andara - Lenteng Agung
JAK-45,Lebak Bulus - Ragunan
JAK-47,Ciganjur - Terminal Pasar Minggu
JAK-49,Lebak Bulus - Cipulir
JAK-50,Kalideres - Puri Kembangan
JAK-51,Taman Kota - Budi Luhur
JAK-52,Kalideres - Muara Angke
JAK-54,Grogol - Benhil
JAK-56,Grogol - Srengseng
JAK-58,Cilincing - Rorotan
JAK-59,Rawamangun - Rawa Sengon
JAK-60,Kelapa Gading - Rusun Kemayoran
JAK-61,Pulogadung - Cempaka Putih
JAK-64,Lenteng Agung - Aseli
JAK-71,Kampung Rambutan - Pinang Ranti
JAK-72,Kampung Rambutan - Pasar Rebo
JAK-73,Jambore Cibubur - Pasar Rebo
JAK-74,Rawamangun - Cipinang Muara
JAK-75,Kampung Pulo - Halim via Cililitan
JAK-77,Tanjung Priok - Jembatan Hitam
JAK-80,Rawa Buaya - Rawa Kompeni
JAK-84,Kampung Melayu - Kapin Raya
JAK-85,Bintara - Cipinang Indah
JAK-112,Pulogadung - Tanah Merah
JAK-117,Tanjung Priok - Tanah Merdeka
10E,Pulogebang - Tanjung Priok
11E,Pulogebang - Lebak Bulus
11F,Pulogebang - Pasar Minggu
11H,Pulogebang - Pinang Ranti
2C,Monas - JIEXPO Kemayoran
