KodeRute,NamaRute,API_URL
JAK-42,Kampung Melayu - Pondok Kelapa,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK.42&transportType=transjakarta
JAK-43,Tongtek - Cililitan,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK.43&transportType=transjakarta
JAK-44,Andara - Lenteng Agung,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK-44&transportType=transjakarta
JAK-45,Lebak Bulus - Ragunan,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK-45&transportType=transjakarta
JAK-47,Ciganjur - Terminal Pasar Minggu,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK-47&transportType=transjakarta
JAK-49,Lebak Bulus - Cipulir,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK.49&transportType=transjakarta
JAK-50,Kalideres - Puri Kembangan,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK-50&transportType=transjakarta
JAK-51,Taman Kota - Budi Luhur,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK-51&transportType=transjakarta
JAK-52,Kalideres - Muara Angke,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK.52&transportType=transjakarta
JAK-54,Grogol - Benhil,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK.54&transportType=transjakarta
JAK-56,Grogol - Srengseng,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK-56&transportType=transjakarta
JAK-58,Cilincing - Rorotan,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK-58&transportType=transjakarta
JAK-59,Rawamangun - Rawa Sengon,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK-59&transportType=transjakarta
JAK-60,Kelapa Gading - Rusun Kemayoran,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK-60&transportType=transjakarta
JAK-61,Pulogadung - Cempaka Putih,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK-61&transportType=transjakarta
JAK-64,Lenteng Agung - Aseli,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK-64&transportType=transjakarta
JAK-71,Kampung Rambutan - Pinang Ranti,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK.71&transportType=transjakarta
JAK-72,Kampung Rambutan - Pasar Rebo,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK-72&transportType=transjakarta
JAK-73,Jambore Cibubur - Pasar Rebo,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK.73&transportType=transjakarta
JAK-74,Rawamangun - Cipinang Muara,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK.74&transportType=transjakarta
JAK-75,Kampung Pulo - Halim via Cililitan,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK-75&transportType=transjakarta
JAK-77,Tanjung Priok - Jembatan Hitam,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK-77&transportType=transjakarta
JAK-80,Rawa Buaya - Rawa Kompeni,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK.80&transportType=transjakarta
JAK-84,Kampung Melayu - Kapin Raya,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK.84&transportType=transjakarta
JAK-85,Bintara - Cipinang Indah,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK.85&transportType=transjakarta
JAK-112,Pulogadung - Tanah Merah,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK.112&transportType=transjakarta
JAK-117,Tanjung Priok - Tanah Merdeka,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK.117&transportType=transjakarta
10E,Pulogebang - Tanjung Priok,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_10E&transportType=transjakarta
11E,Pulogebang - Lebak Bulus,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_11E&transportType=transjakarta
11F,Pulogebang - Pasar Minggu,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_11F&transportType=transjakarta
11H,Pulogebang - Pinang Ranti,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_11H&transportType=transjakarta
2C,Monas - JIEXPO Kemayoran,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_2C&transportType=transjakarta
