KodeRute,NamaRute,API_URL
6B,Ragunan - Monas Via Semanggi,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_6B&transportType=transjakarta
6C,St. Tebet - Karet Via Patra Kuningan,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_6C&transportType=transjakarta
6D,St. Tebet - Karet Via Underpass,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_6D&transportType=transjakarta
6E,St. Tebet - Karet Via Mega Kuningan,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_6E&transportType=transjakarta
6F,Ragunan - St. Manggarai,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_6F&transportType=transjakarta
6H,Pasar Senen - Lebak Bulus,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_6H&transportType=transjakarta
6M,Blok M - St Manggarai,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_6M&transportType=transjakarta
6N,Blok M - Ragunan,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_6N&transportType=transjakarta
6Q,Epicentrum - Casablanca,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_6Q&transportType=transjakarta
6R,Ragunan - Stasiun MRT Fatmawati,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_6R&transportType=transjakarta
7,Kampung Rambutan - Kampung Melayu,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_7&transportType=transjakarta
7A,Kampung Rambutan - Lebak Bulus,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_7A&transportType=transjakarta
7B,Kampung Rambutan - Blok M,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_7B&transportType=transjakarta
7C,Cibubur - BKN,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_7C&transportType=transjakarta
7D,TMII - Cawang UKI,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_7D&transportType=transjakarta
